ngay;nhietdocaonhat;nhietdothapnhat;nhietdotrungbinh;doamcaonhat;doamthapnhat;doamtrungbinh;giolonnhat;giothapnhat;giotrungbinh;huonggiotheodo;bucxamattroi;mua;luongmua
259;3.079.665;2.406.665;26.351.648;9.735.195;6.921.508;8.905.659;9.726.664;51.544.156;7.833.512;19.515.407;3137;1;4.5
260;30.766.651;2.505.665;26.710.398;9.637.459;67.598.915;8.935.959;1.642.247;48.965.297;10.049.276;23.200.786;3330;1;14.900.001
261;2.793.665;2.453.665;25.731.653;9.625.463;826.731;9.319.204;14.277.983;60.347;10.290.328;22.222.083;1874;1;16.5
262;2.946.665;24.266.651;26.062.067;9.717.645;7.752.575;9.217.286;1.731.746;40.249.224;8.128.449;21.245.453;3679;1;28.800.003
263;3.162.665;2.390.665;26.586.649;9.770.137;6.777.302;8.872.408;18.440.998;38.773.184;65.092.015;20.119.133;4630;1;21.900.003
264;3.043.665;24.266.651;26.708.313;9.858.722;7.223.441;885.712;812.197;2.968.636;50.132.713;19.046.288;2453;1;3
265;3.124.665;2.430.665;268.729;98.587.204;6.661.753;8.859.731;61.305.785;0.71999997;35.380.704;33.610.486;4413;1;56.000.004
266;3.282.665;2.470.665;27.733.316;96.484.634;62.349.483;85.926.544;75.942.082;20.364.676;45.010.905;90;5100;1;9.7
267;3.301.665;2.445.665;28.672.483;95.104.294;63.616.047;81.122.444;9;0;44.991.155;52.193.436;6516;0;0
268;33.966.652;2.598.665;29.689.568;9.479.756;59.612.843;78.790.245;7.289.445;20.991.426;43.016.477;351.148;6413;1;0.2
269;3.315.665;2.589.665;28.373.732;94.417;631.654;8.394.874;11.525.623;0.8049845;4.748.619;31.347.247;5892;1;31.999.998
270;3.350.665;2.485.665;28.805.403;944.827;5.648.701;7.729.621;9.826.088;35.455.887;5.650.478;35.197.278;6832;0;0
271;3.327.665;2.511.665;27.909.563;9.511.971;6.428.703;8.458.363;9.422.101;14.399.999;50.827.136;25.984.094;5063;1;17.2
272;3.265.665;2.460.665;28.242.067;9.735.743;5.893.263;814.967;8.217.153;0.35999998;5.271.722;3.187.931;5970;1;0.2
273;3.181.665;2.546.665;27.869.566;9.450.487;63.343.185;8.321.695;10.739.833;20.991.426;44.356.623;25.969.516;5704;1;1.5
274;32.216.652;2.525.665;27.812.487;9.580.763;62.343.452;8.523.815;8.654.986;0.5091169;35.491.135;15.954.369;5048;1;38.999.996
275;3.193.665;25.426.651;28.084.978;9.466.925;63.403.893;84.110.435;10.137.692;0.8049845;34.965.684;1.658.668;5234;1;0.5
276;3.204.665;2.503.665;28.027.483;9.776.661;62.628.372;8.369.263;6.792.466;0;29.303.265;18.381.407;5698;1;36.000.001
277;3.163.665;2.461.665;27.578.318;98.293;7.038.908;8.621.799;9.178.235;0.8049845;39.043.272;26.899.493;4714;1;4.1
278;3.111.665;23.676.651;2.674.331;9.769.924;7.187.551;87.496.185;839.657;1.08;51.428.614;48.462.067;4226;1;8.300.001
279;3.174.665;2.450.665;2.722.998;964.898;6.722.109;8.549.694;53.517.847;0.71999997;29.721.859;23.198.593;4586;1;9.2
280;3.240.665;2.420.665;27.577.486;9.555.152;6.530.746;861.835;7.289.445;0.71999997;33.509.247;54.395.462;5245;1;73.000.007
281;3.254.665;2.487.665;28.691.233;9.444.402;6.195.616;8.147.448;61.305.785;1.08;35.217.578;23.078.217;5733;1;0.8000001
282;3.195.665;2.505.665;27.444.147;9.592.183;63.465.572;8.620.056;12.245.293;2.52;49.458.265;20.307.042;4298;1;48.999.996
283;3.127.665;24.266.651;27.378.319;9.566.807;6.384.362;8.261.181;4.829.907;10.182.338;31.159.375;16.782.639;5593;1;0.4
284;3.186.665;2.472.665;27.906.652;9.677.769;647.514;8.436.089;6.696.387;1.08;3.162.359;30.963.745;5553;1;1.7
285;3.091.665;2.531.665;27.671.232;9.546.198;6.712.381;8.520.895;8.707.238;0.71999997;37.987.044;20.224.854;4865;1;19.000.001
286;30.846.651;2.494.665;26.996.653;9.482.944;66.500.496;8.603.683;12.218.805;0;3.465.417;9.645.882;5253;1;6.1
287;3.287.665;2.403.665;27.641.235;9.520.857;60.197.784;8.160.476;8.854.829;20.991.426;5.206.103;35.379.654;5810;1;0.2
288;3.228.665;2.498.665;27.731.234;9.551.882;6.705.472;8.432.005;8.427.383;0.35999998;2.852.124;28.686.142;5862;1;34.999.998
289;3.229.665;2.443.665;27.282.066;97.649.086;6.677.842;8.596.714;12.24;0.71999997;44.634.023;11.612.244;5511;1;12.700.001
290;3.256.665;2.436.665;27.612.068;9.770.577;67.067.726;8.568.104;11.367.109;0;47.625.995;35.305.405;5684;1;2.4
291;3.264.665;2.450.665;27.237.482;9.654.501;6.436.088;8.570.279;6.725.354;15.273.507;4.058.249;12.171.448;5639;1;33.999.999
292;30.926.651;2.463.665;2.720.207;9.694.914;6.833.802;8.632.233;8.209.263;1.8;4.327.954;81.740.555;4724;1;2.2
